page,section,q_no,question,question_no_included,field_key
2,Basic Information,1,Household Survey Summary,,
2,Basic Information,7,,"7. Please list all the people who currently live in your household, including yourself, and provide their gender, age education and relationship to you.",textlabel_4
2,Basic Information,8,8. What is the religion of the head of household?,8. What is the religion of the head of household?,religion
2,Basic Information,9,9. Do you identify yourself as a member of a specific region or sub-national geographic area?,,region_member
2,Basic Information,10,10. Is it important to you that the region is managed and protected?,,MPA_important
3,Livelihood,11,11. Sources of household income this year and estimated contribution to overall household income,,textlabel_6
4,Fishing and related activities,12,12. How many members of the household regularly go fishing?,,textlabel_5
4,Fishing and related activities,13,13. How many members of the household regularly participate in post-processing activities to prepare the fish for sale?,,textlabel_1
4,Fishing and related activities,14,14. What activities are the responsibility of the women in the household in a typical week?,,responsibilities_women
4,Fishing and related activities,15,,15. How much time do you allocate to other activities in a typical week?,textlabel_25
4,Fishing and related activities,16,16. Consider the main fisher in the household. Does this person fish?,,hh_main_fisher
4,Fishing and related activities,17,17. How often did the main fisher go fishing during lean season or less profitable fishing season?,,fishing_low_profit
4,Fishing and related activities,18,18. How often did the main fisher go fishing in the more profitable fishing season?,,fishing_high_profit
4,Fishing and related activities,19,"19. Compared to 2 years ago, the current fish catch has...",,current_fish_catch
4,Fishing and related activities,20,,20. Has your family been fishing in the last 12 months? What fishing gears were used?,fishing_12months
4,Fishing and related activities,21,,"21. For fishing purposes, does the household own a boat, share a boat, rent a boat from others, or does not use a boat?",boat_owner_status
4,Fishing and related activities,22,"22. In the next 5 years, how do you think the fish catch will be compared to today?",,catch_5yrs
4,Fishing and related activities,23,23. Do you believe that the job of a fisher is secure in the future?,,job_secure
5,Household Assets,24,24. Please indicate the number of items that are owned in the previous 12 months by the household,,textlabel_8
6,Financial Resilience,25,"25. Does any household member have an account at a financial institution or keep money in any of the following ways? If yes, please specify.",,textlabel_9
6,Financial Resilience,26,26. Does your income provide enough to save?,,fishing_income_save
6,Financial Resilience,27,"27. Does any household member have access to one of the following sources of funds (enough to replace fishing gear, or primary livelihood gear, boat repairs)? If yes, please specify.",,textlabel_10
6,Financial Resilience,28,28. Does your household take out loans from fish buyers or traders?,,buyer_loans
6,Financial Resilience,29,29. To cover family needs your household income is…,,family_income
7,Social Capital,30a,30a. Please rate your agreement with the following statement: Local decision-makers/ local authorities can be trusted to make decisions that benefit the community over their own interests,,textlabel_11
7,Social Capital,30b,30b. Please rate your agreement with the following statement: Regional decision-makers/ regional authorities can be trusted to make decisions that benefit the community over their own interests,,
7,Social Capital,30c,"30c. Please rate your agreement with the following statement: Generally speaking, most people in my community can be trusted",,
7,Social Capital,30d,"30d. Please rate your agreement with the following statement: In this village, you have to be alert to someone taking advantage of you",,
7,Social Capital,30e,,"30e. Please rate your agreement with the following statement: Generally speaking, religious leaders can be trusted",
7,Social Capital,30f,  ,"30f. Please rate your agreement with the following statement: Generally speaking, NGOs can be trusted to make decisions in our best interest",
7,Social Capital,30g,,"30g. Please rate your agreement with the following statement: Generally speaking, the fishers from this community can be trusted not to break the rules",
7,Social Capital,30h,,"30h. Please rate your agreement with the following statement: Generally speaking, the fishers from other communities can be trusted not to break the rules ",
7,Social Capital,30i,,"30i. Please rate your agreement with the following statement: Generally speaking, most people in neighboring communities can be trusted. ",
7,Social Capital,31,31. How much do you agree or disagree with the following statement? “My community has the ability to manage my fishery effectively and to maximize food and profits?”,  ,
7,Social Capital,32,32. Do you believe you benefit equally from the fishery as other members of the community?,,fishery_benefit_equal
8,Knowledge,33,33. Are you familiar with the managed access and reserve area management approach?,,ma_familiar
8,Knowledge,34,34. Are there restrictions on the type of gear that may be used in the fisheries management/managed access area?,,gear_restrictions
